EmployeeID,RoleStartDate,JobTitle
1,2017-03-04,Director
2,2016-10-04,Manager
3,2018-08-30,Analyst
3,2019-08-30,Senior Analyst
3,2020-08-29,Analyst
4,2017-12-30,Director
5,2016-12-03,Senior Analyst
5,2017-12-03,Manager
6,2021-09-20,Manager
6,2022-09-20,Director
7,2016-01-22,Manager
7,2017-01-21,Analyst
8,2020-01-04,Manager
8,2021-01-03,Analyst
8,2022-01-03,Manager
9,2016-06-29,Director
10,2019-01-06,Manager
10,2020-01-06,Senior Analyst
11,2020-08-24,Analyst
11,2021-08-24,Senior Analyst
12,2022-01-04,Manager
12,2023-01-04,Director
13,2019-10-01,Analyst
14,2023-12-13,Director
14,2024-12-12,Manager
15,2016-05-11,Analyst
16,2017-03-24,Director
16,2018-03-24,Manager
16,2019-03-24,Analyst
17,2017-12-20,Manager
17,2018-12-20,Senior Analyst
18,2023-12-01,Manager
19,2018-01-10,Senior Analyst
19,2019-01-10,Senior Analyst
20,2017-03-08,Senior Analyst
21,2016-08-14,Manager
22,2018-02-02,Analyst
23,2018-09-13,Manager
23,2019-09-13,Senior Analyst
23,2020-09-12,Director
24,2022-12-17,Senior Analyst
25,2016-06-27,Senior Analyst
26,2019-04-30,Director
26,2020-04-29,Analyst
26,2021-04-29,Director
27,2022-03-16,Senior Analyst
27,2023-03-16,Director
28,2016-12-14,Manager
28,2017-12-14,Director
28,2018-12-14,Senior Analyst
29,2022-11-29,Senior Analyst
29,2023-11-29,Manager
29,2024-11-28,Director
30,2016-12-11,Manager
31,2022-03-12,Director
31,2023-03-12,Director
31,2024-03-11,Manager
32,2019-10-16,Director
32,2020-10-15,Senior Analyst
33,2018-12-25,Senior Analyst
34,2023-05-23,Analyst
34,2024-05-22,Director
35,2019-04-13,Analyst
35,2020-04-12,Analyst
36,2024-03-04,Analyst
36,2025-03-04,Senior Analyst
37,2017-07-04,Director
37,2018-07-04,Senior Analyst
38,2016-12-24,Analyst
38,2017-12-24,Senior Analyst
39,2021-07-26,Manager
39,2022-07-26,Analyst
40,2015-05-31,Analyst
40,2016-05-30,Director
41,2017-12-03,Manager
41,2018-12-03,Senior Analyst
41,2019-12-03,Director
42,2019-10-09,Manager
43,2016-01-11,Analyst
44,2022-07-22,Analyst
44,2023-07-22,Manager
45,2021-07-24,Senior Analyst
46,2021-05-14,Manager
47,2019-04-23,Senior Analyst
47,2020-04-22,Director
48,2022-04-14,Analyst
48,2023-04-14,Analyst
49,2021-10-15,Manager
50,2019-01-27,Senior Analyst
51,2022-01-29,Director
51,2023-01-29,Analyst
51,2024-01-29,Manager
52,2018-04-26,Manager
53,2022-09-14,Analyst
54,2022-09-12,Director
55,2020-11-23,Director
55,2021-11-23,Analyst
55,2022-11-23,Analyst
56,2020-10-29,Analyst
56,2021-10-29,Senior Analyst
57,2018-03-29,Senior Analyst
57,2019-03-29,Manager
57,2020-03-28,Director
58,2020-10-05,Manager
59,2016-09-20,Director
60,2020-07-23,Analyst
61,2016-07-08,Manager
61,2017-07-08,Analyst
61,2018-07-08,Analyst
62,2017-10-15,Director
62,2018-10-15,Analyst
63,2024-02-03,Director
63,2025-02-02,Manager
64,2020-09-04,Analyst
64,2021-09-04,Manager
65,2022-11-12,Manager
66,2024-02-24,Analyst
67,2016-08-25,Manager
67,2017-08-25,Senior Analyst
67,2018-08-25,Analyst
68,2020-11-28,Manager
68,2021-11-28,Senior Analyst
69,2015-08-12,Director
69,2016-08-11,Director
69,2017-08-11,Senior Analyst
70,2022-05-29,Analyst
71,2022-09-11,Director
71,2023-09-11,Analyst
71,2024-09-10,Manager
72,2017-06-14,Analyst
73,2023-02-18,Analyst
74,2020-01-06,Manager
74,2021-01-05,Director
75,2016-03-01,Director
75,2017-03-01,Manager
75,2018-03-01,Analyst
76,2017-11-14,Senior Analyst
76,2018-11-14,Manager
76,2019-11-14,Manager
77,2021-07-22,Manager
78,2017-02-12,Analyst
78,2018-02-12,Manager
79,2016-07-28,Director
79,2017-07-28,Director
80,2015-12-24,Manager
80,2016-12-23,Senior Analyst
81,2023-08-15,Director
81,2024-08-14,Manager
82,2018-04-11,Manager
82,2019-04-11,Analyst
82,2020-04-10,Director
83,2019-11-05,Director
84,2023-03-09,Senior Analyst
84,2024-03-08,Manager
84,2025-03-08,Manager
85,2023-07-29,Analyst
86,2018-07-13,Manager
86,2019-07-13,Manager
87,2023-08-18,Director
87,2024-08-17,Senior Analyst
88,2021-07-23,Director
88,2022-07-23,Manager
88,2023-07-23,Director
89,2019-11-21,Manager
90,2018-06-06,Director
90,2019-06-06,Manager
90,2020-06-05,Analyst
91,2020-04-26,Director
92,2016-03-16,Senior Analyst
92,2017-03-16,Analyst
93,2020-02-12,Director
94,2017-03-21,Senior Analyst
95,2020-06-12,Senior Analyst
96,2024-03-03,Manager
96,2025-03-03,Manager
97,2016-12-19,Analyst
97,2017-12-19,Senior Analyst
98,2016-07-22,Director
98,2017-07-22,Manager
98,2018-07-22,Manager
99,2020-03-07,Analyst
99,2021-03-07,Senior Analyst
100,2018-08-24,Manager
100,2019-08-24,Director
100,2020-08-23,Manager
101,2016-04-17,Manager
101,2017-04-17,Senior Analyst
101,2018-04-17,Analyst
102,2020-06-14,Senior Analyst
103,2022-08-18,Director
103,2023-08-18,Analyst
104,2015-08-19,Manager
104,2016-08-18,Director
105,2020-01-05,Manager
106,2021-03-14,Director
106,2022-03-14,Senior Analyst
106,2023-03-14,Analyst
107,2023-09-16,Analyst
108,2020-10-11,Senior Analyst
108,2021-10-11,Director
109,2022-04-23,Manager
110,2018-09-28,Manager
110,2019-09-28,Analyst
110,2020-09-27,Manager
111,2017-12-22,Senior Analyst
111,2018-12-22,Senior Analyst
112,2023-02-17,Senior Analyst
112,2024-02-17,Analyst
113,2022-05-07,Senior Analyst
114,2023-12-05,Director
115,2019-10-29,Manager
116,2023-07-09,Manager
116,2024-07-08,Director
117,2019-05-05,Senior Analyst
117,2020-05-04,Analyst
117,2021-05-04,Analyst
118,2021-11-06,Director
118,2022-11-06,Director
119,2020-12-04,Director
119,2021-12-04,Director
119,2022-12-04,Analyst
120,2022-04-03,Manager
121,2016-08-24,Analyst
121,2017-08-24,Director
121,2018-08-24,Director
122,2015-11-22,Manager
122,2016-11-21,Senior Analyst
122,2017-11-21,Senior Analyst
123,2022-08-30,Director
124,2015-10-09,Analyst
124,2016-10-08,Analyst
124,2017-10-08,Senior Analyst
125,2022-04-16,Senior Analyst
125,2023-04-16,Senior Analyst
126,2023-09-30,Senior Analyst
126,2024-09-29,Manager
127,2023-03-12,Manager
127,2024-03-11,Analyst
127,2025-03-11,Manager
128,2020-05-14,Manager
129,2023-07-02,Manager
130,2015-08-27,Analyst
130,2016-08-26,Senior Analyst
130,2017-08-26,Senior Analyst
131,2019-03-12,Manager
132,2016-12-06,Analyst
132,2017-12-06,Analyst
132,2018-12-06,Analyst
133,2017-07-07,Manager
134,2021-07-03,Senior Analyst
134,2022-07-03,Director
134,2023-07-03,Analyst
135,2020-04-19,Manager
135,2021-04-19,Manager
136,2022-01-15,Senior Analyst
136,2023-01-15,Director
137,2017-05-19,Director
137,2018-05-19,Analyst
138,2017-02-14,Analyst
138,2018-02-14,Senior Analyst
138,2019-02-14,Director
139,2016-05-09,Director
139,2017-05-09,Director
140,2015-11-30,Manager
141,2022-05-30,Senior Analyst
141,2023-05-30,Manager
141,2024-05-29,Manager
142,2020-01-15,Manager
142,2021-01-14,Director
142,2022-01-14,Senior Analyst
143,2021-07-12,Analyst
143,2022-07-12,Manager
144,2023-01-06,Director
145,2017-06-03,Manager
146,2019-03-30,Senior Analyst
146,2020-03-29,Senior Analyst
147,2017-06-28,Analyst
148,2020-10-14,Director
148,2021-10-14,Director
149,2023-05-20,Senior Analyst
150,2024-02-25,Manager
150,2025-02-24,Senior Analyst
151,2017-02-11,Director
152,2020-10-23,Director
152,2021-10-23,Director
152,2022-10-23,Manager
153,2018-12-09,Analyst
153,2019-12-09,Analyst
154,2020-08-06,Director
154,2021-08-06,Senior Analyst
155,2016-06-03,Manager
156,2016-04-19,Analyst
157,2016-02-26,Director
157,2017-02-25,Director
158,2019-02-04,Analyst
158,2020-02-04,Analyst
159,2022-07-31,Senior Analyst
159,2023-07-31,Manager
160,2015-10-09,Manager
160,2016-10-08,Director
160,2017-10-08,Manager
161,2017-09-19,Director
162,2021-09-05,Senior Analyst
163,2016-09-21,Manager
163,2017-09-21,Analyst
164,2022-06-29,Director
164,2023-06-29,Manager
165,2023-07-23,Analyst
165,2024-07-22,Senior Analyst
166,2017-08-12,Director
167,2017-06-23,Manager
167,2018-06-23,Manager
168,2022-09-13,Senior Analyst
169,2020-03-15,Director
169,2021-03-15,Analyst
169,2022-03-15,Analyst
170,2016-10-11,Senior Analyst
171,2020-07-22,Manager
171,2021-07-22,Director
171,2022-07-22,Director
172,2023-12-15,Senior Analyst
173,2019-08-20,Manager
173,2020-08-19,Senior Analyst
174,2023-03-04,Manager
174,2024-03-03,Manager
175,2017-11-06,Director
175,2018-11-06,Manager
175,2019-11-06,Director
176,2023-11-29,Manager
177,2016-10-25,Analyst
177,2017-10-25,Director
178,2018-06-25,Manager
178,2019-06-25,Analyst
178,2020-06-24,Director
179,2016-09-18,Senior Analyst
179,2017-09-18,Analyst
180,2024-03-04,Director
180,2025-03-04,Senior Analyst
181,2016-03-03,Director
181,2017-03-03,Senior Analyst
181,2018-03-03,Senior Analyst
182,2019-07-26,Analyst
183,2017-09-07,Analyst
184,2020-07-18,Manager
184,2021-07-18,Director
185,2024-03-26,Director
186,2021-02-03,Senior Analyst
186,2022-02-03,Director
186,2023-02-03,Director
187,2016-12-31,Analyst
187,2017-12-31,Senior Analyst
187,2018-12-31,Senior Analyst
188,2021-09-08,Manager
188,2022-09-08,Director
188,2023-09-08,Director
189,2022-04-08,Senior Analyst
189,2023-04-08,Director
190,2019-04-06,Manager
190,2020-04-05,Manager
190,2021-04-05,Manager
191,2021-07-15,Director
191,2022-07-15,Senior Analyst
191,2023-07-15,Senior Analyst
192,2024-04-02,Manager
192,2025-04-02,Senior Analyst
193,2023-06-16,Manager
193,2024-06-15,Senior Analyst
194,2019-12-03,Director
194,2020-12-02,Manager
194,2021-12-02,Director
195,2015-09-25,Manager
195,2016-09-24,Manager
196,2019-02-06,Director
197,2015-12-07,Manager
197,2016-12-06,Senior Analyst
198,2022-11-29,Analyst
198,2023-11-29,Manager
199,2024-04-04,Analyst
199,2025-04-04,Manager
200,2016-05-07,Manager
200,2017-05-07,Director
201,2017-09-21,Senior Analyst
202,2024-03-08,Manager
202,2025-03-08,Manager
203,2021-11-10,Analyst
204,2020-12-08,Senior Analyst
204,2021-12-08,Senior Analyst
204,2022-12-08,Analyst
205,2023-03-09,Senior Analyst
205,2024-03-08,Senior Analyst
205,2025-03-08,Analyst
206,2016-01-10,Director
207,2023-05-02,Director
207,2024-05-01,Analyst
208,2020-12-04,Senior Analyst
208,2021-12-04,Analyst
208,2022-12-04,Senior Analyst
209,2021-01-17,Director
209,2022-01-17,Director
210,2016-08-15,Senior Analyst
210,2017-08-15,Manager
210,2018-08-15,Manager
211,2020-11-09,Analyst
211,2021-11-09,Analyst
212,2021-04-05,Senior Analyst
212,2022-04-05,Analyst
212,2023-04-05,Senior Analyst
213,2016-07-22,Senior Analyst
213,2017-07-22,Analyst
214,2022-09-25,Director
214,2023-09-25,Senior Analyst
215,2015-10-31,Manager
215,2016-10-30,Analyst
215,2017-10-30,Analyst
216,2017-08-15,Analyst
216,2018-08-15,Manager
217,2018-06-12,Director
217,2019-06-12,Director
218,2023-08-21,Director
219,2016-10-09,Senior Analyst
219,2017-10-09,Analyst
220,2020-03-21,Senior Analyst
220,2021-03-21,Director
221,2019-02-04,Manager
221,2020-02-04,Senior Analyst
221,2021-02-03,Analyst
222,2021-07-22,Manager
222,2022-07-22,Manager
222,2023-07-22,Senior Analyst
223,2024-03-22,Director
224,2022-12-08,Manager
224,2023-12-08,Analyst
225,2022-08-22,Analyst
225,2023-08-22,Senior Analyst
226,2020-10-07,Director
227,2018-08-14,Senior Analyst
227,2019-08-14,Analyst
228,2023-10-30,Director
228,2024-10-29,Senior Analyst
229,2021-01-08,Manager
229,2022-01-08,Manager
230,2019-10-13,Analyst
230,2020-10-12,Manager
231,2020-03-16,Manager
231,2021-03-16,Senior Analyst
231,2022-03-16,Analyst
232,2016-04-19,Analyst
232,2017-04-19,Director
232,2018-04-19,Manager
233,2020-09-17,Director
234,2017-01-31,Manager
234,2018-01-31,Analyst
234,2019-01-31,Manager
235,2020-03-20,Senior Analyst
235,2021-03-20,Senior Analyst
236,2020-08-07,Director
237,2023-09-28,Director
238,2016-02-09,Manager
238,2017-02-08,Director
238,2018-02-08,Director
239,2017-02-08,Senior Analyst
239,2018-02-08,Senior Analyst
239,2019-02-08,Analyst
240,2016-02-24,Director
240,2017-02-23,Manager
240,2018-02-23,Analyst
241,2020-01-15,Analyst
241,2021-01-14,Analyst
241,2022-01-14,Senior Analyst
242,2021-01-18,Senior Analyst
242,2022-01-18,Senior Analyst
242,2023-01-18,Manager
243,2015-12-10,Director
243,2016-12-09,Analyst
243,2017-12-09,Senior Analyst
244,2017-08-28,Director
244,2018-08-28,Analyst
244,2019-08-28,Director
245,2023-12-14,Director
246,2022-05-14,Director
247,2019-02-24,Analyst
247,2020-02-24,Director
248,2015-10-26,Manager
248,2016-10-25,Analyst
248,2017-10-25,Director
249,2022-04-22,Analyst
249,2023-04-22,Senior Analyst
250,2017-08-18,Analyst
250,2018-08-18,Analyst
250,2019-08-18,Director
251,2018-03-24,Analyst
251,2019-03-24,Analyst
252,2019-06-22,Director
253,2023-08-07,Manager
254,2021-09-27,Senior Analyst
254,2022-09-27,Senior Analyst
255,2016-08-16,Director
255,2017-08-16,Manager
255,2018-08-16,Director
256,2019-11-22,Director
256,2020-11-21,Director
257,2019-02-13,Senior Analyst
258,2015-05-15,Manager
258,2016-05-14,Analyst
258,2017-05-14,Senior Analyst
259,2020-03-01,Director
259,2021-03-01,Senior Analyst
259,2022-03-01,Senior Analyst
260,2015-11-30,Analyst
261,2022-01-12,Director
261,2023-01-12,Director
262,2020-05-10,Director
262,2021-05-10,Senior Analyst
262,2022-05-10,Senior Analyst
263,2024-03-14,Manager
263,2025-03-14,Senior Analyst
264,2018-01-16,Senior Analyst
264,2019-01-16,Analyst
265,2018-07-26,Director
266,2022-02-05,Analyst
266,2023-02-05,Senior Analyst
266,2024-02-05,Senior Analyst
267,2019-09-19,Analyst
268,2015-06-23,Analyst
268,2016-06-22,Director
268,2017-06-22,Analyst
269,2023-10-30,Analyst
270,2021-07-13,Director
270,2022-07-13,Senior Analyst
271,2021-08-20,Senior Analyst
271,2022-08-20,Analyst
271,2023-08-20,Senior Analyst
272,2016-09-02,Manager
272,2017-09-02,Senior Analyst
272,2018-09-02,Manager
273,2018-09-20,Manager
273,2019-09-20,Senior Analyst
273,2020-09-19,Manager
274,2023-08-06,Senior Analyst
275,2023-01-19,Manager
275,2024-01-19,Manager
276,2019-08-11,Senior Analyst
277,2016-04-21,Director
277,2017-04-21,Director
277,2018-04-21,Analyst
278,2022-06-07,Director
278,2023-06-07,Manager
279,2017-07-17,Director
279,2018-07-17,Director
279,2019-07-17,Senior Analyst
280,2015-05-04,Director
280,2016-05-03,Senior Analyst
281,2019-06-28,Director
281,2020-06-27,Senior Analyst
281,2021-06-27,Senior Analyst
282,2015-07-19,Senior Analyst
282,2016-07-18,Director
283,2019-06-11,Director
284,2016-03-28,Senior Analyst
284,2017-03-28,Director
285,2019-04-24,Manager
286,2016-04-25,Manager
287,2023-09-17,Analyst
287,2024-09-16,Director
288,2022-05-12,Analyst
288,2023-05-12,Senior Analyst
289,2020-05-24,Manager
290,2017-07-24,Analyst
290,2018-07-24,Analyst
291,2018-07-09,Senior Analyst
292,2018-12-21,Senior Analyst
292,2019-12-21,Manager
293,2023-06-05,Analyst
293,2024-06-04,Senior Analyst
294,2020-10-01,Analyst
295,2024-01-02,Director
295,2025-01-01,Senior Analyst
296,2018-09-26,Senior Analyst
296,2019-09-26,Director
296,2020-09-25,Senior Analyst
297,2019-09-19,Manager
297,2020-09-18,Manager
297,2021-09-18,Director
298,2019-03-12,Manager
298,2020-03-11,Manager
299,2023-08-17,Manager
299,2024-08-16,Director
300,2018-05-30,Analyst
300,2019-05-30,Director
301,2016-02-08,Senior Analyst
301,2017-02-07,Manager
302,2015-06-08,Director
302,2016-06-07,Analyst
303,2015-05-24,Senior Analyst
303,2016-05-23,Senior Analyst
303,2017-05-23,Analyst
304,2015-07-28,Director
304,2016-07-27,Manager
305,2024-03-14,Senior Analyst
306,2016-08-16,Senior Analyst
306,2017-08-16,Director
307,2016-08-25,Senior Analyst
307,2017-08-25,Director
307,2018-08-25,Manager
308,2023-05-18,Director
308,2024-05-17,Director
309,2016-11-25,Senior Analyst
309,2017-11-25,Manager
310,2020-01-19,Senior Analyst
311,2017-09-24,Director
311,2018-09-24,Senior Analyst
311,2019-09-24,Analyst
312,2021-11-25,Analyst
312,2022-11-25,Analyst
312,2023-11-25,Analyst
313,2016-08-12,Director
314,2021-01-27,Senior Analyst
315,2022-12-11,Senior Analyst
316,2019-06-22,Senior Analyst
317,2021-06-01,Director
317,2022-06-01,Manager
317,2023-06-01,Analyst
318,2017-07-14,Director
318,2018-07-14,Director
318,2019-07-14,Analyst
319,2021-04-20,Director
320,2021-11-16,Analyst
321,2021-10-03,Manager
321,2022-10-03,Manager
321,2023-10-03,Analyst
322,2019-12-22,Director
322,2020-12-21,Senior Analyst
322,2021-12-21,Analyst
323,2018-08-10,Senior Analyst
324,2020-11-19,Senior Analyst
325,2018-09-12,Manager
325,2019-09-12,Manager
325,2020-09-11,Manager
326,2019-05-28,Analyst
326,2020-05-27,Manager
327,2018-09-05,Director
327,2019-09-05,Senior Analyst
328,2022-09-27,Senior Analyst
328,2023-09-27,Manager
328,2024-09-26,Analyst
329,2020-06-06,Analyst
329,2021-06-06,Analyst
329,2022-06-06,Director
330,2022-02-05,Director
330,2023-02-05,Director
331,2016-09-22,Analyst
332,2022-01-29,Senior Analyst
332,2023-01-29,Analyst
332,2024-01-29,Director
333,2023-12-20,Manager
333,2024-12-19,Analyst
334,2023-02-27,Analyst
334,2024-02-27,Senior Analyst
334,2025-02-26,Senior Analyst
335,2017-01-21,Director
335,2018-01-21,Manager
335,2019-01-21,Analyst
336,2023-01-10,Manager
337,2020-09-14,Analyst
337,2021-09-14,Senior Analyst
337,2022-09-14,Manager
338,2018-01-28,Senior Analyst
339,2023-02-21,Senior Analyst
339,2024-02-21,Director
339,2025-02-20,Analyst
340,2022-12-05,Senior Analyst
340,2023-12-05,Senior Analyst
341,2016-05-05,Director
341,2017-05-05,Manager
341,2018-05-05,Director
342,2017-03-21,Senior Analyst
342,2018-03-21,Analyst
342,2019-03-21,Manager
343,2017-03-22,Analyst
344,2016-09-20,Senior Analyst
344,2017-09-20,Analyst
345,2023-12-21,Director
345,2024-12-20,Manager
346,2018-03-24,Manager
347,2021-05-21,Director
347,2022-05-21,Senior Analyst
348,2023-09-13,Director
348,2024-09-12,Director
349,2015-10-21,Director
350,2023-01-22,Manager
351,2021-07-09,Analyst
352,2017-01-08,Manager
353,2022-10-01,Director
354,2021-03-30,Senior Analyst
354,2022-03-30,Director
354,2023-03-30,Manager
355,2018-10-19,Analyst
355,2019-10-19,Analyst
356,2020-04-04,Manager
357,2016-04-15,Manager
357,2017-04-15,Manager
358,2019-06-29,Senior Analyst
359,2022-12-20,Senior Analyst
360,2021-07-23,Director
360,2022-07-23,Director
361,2016-05-10,Analyst
362,2020-02-08,Manager
363,2016-01-23,Analyst
363,2017-01-22,Manager
363,2018-01-22,Director
364,2015-04-17,Manager
365,2016-11-12,Director
365,2017-11-12,Analyst
366,2020-06-23,Senior Analyst
366,2021-06-23,Senior Analyst
366,2022-06-23,Director
367,2023-05-23,Senior Analyst
368,2017-05-01,Manager
368,2018-05-01,Manager
369,2017-01-13,Senior Analyst
369,2018-01-13,Analyst
370,2017-09-16,Director
371,2018-11-26,Director
371,2019-11-26,Manager
372,2016-12-27,Analyst
372,2017-12-27,Manager
373,2017-08-28,Senior Analyst
373,2018-08-28,Director
374,2020-05-30,Senior Analyst
374,2021-05-30,Director
374,2022-05-30,Analyst
375,2019-05-09,Manager
376,2021-11-10,Director
377,2016-07-09,Director
377,2017-07-09,Manager
378,2023-11-24,Manager
378,2024-11-23,Director
379,2017-11-16,Senior Analyst
379,2018-11-16,Manager
379,2019-11-16,Manager
380,2020-11-02,Senior Analyst
380,2021-11-02,Director
380,2022-11-02,Manager
381,2016-04-06,Director
382,2017-04-24,Manager
382,2018-04-24,Director
383,2024-01-29,Senior Analyst
383,2025-01-28,Manager
384,2019-11-08,Manager
384,2020-11-07,Director
385,2024-03-11,Analyst
385,2025-03-11,Senior Analyst
386,2016-03-22,Senior Analyst
386,2017-03-22,Analyst
386,2018-03-22,Director
387,2016-01-11,Senior Analyst
387,2017-01-10,Director
387,2018-01-10,Manager
388,2018-04-29,Analyst
388,2019-04-29,Director
388,2020-04-28,Director
389,2022-05-12,Manager
390,2018-05-01,Manager
391,2020-01-31,Senior Analyst
391,2021-01-30,Director
391,2022-01-30,Director
392,2020-03-28,Director
393,2018-08-09,Director
393,2019-08-09,Director
393,2020-08-08,Director
394,2015-09-08,Analyst
394,2016-09-07,Manager
394,2017-09-07,Analyst
395,2020-07-05,Senior Analyst
396,2020-01-15,Manager
396,2021-01-14,Senior Analyst
396,2022-01-14,Analyst
397,2023-01-29,Director
397,2024-01-29,Manager
397,2025-01-28,Director
398,2016-07-20,Analyst
399,2020-08-21,Manager
400,2019-04-03,Senior Analyst
401,2023-03-17,Manager
401,2024-03-16,Director
402,2019-10-15,Senior Analyst
402,2020-10-14,Manager
403,2018-12-09,Director
404,2016-02-11,Manager
405,2019-07-13,Analyst
405,2020-07-12,Analyst
406,2017-07-03,Senior Analyst
406,2018-07-03,Manager
406,2019-07-03,Manager
407,2015-08-26,Director
407,2016-08-25,Senior Analyst
408,2017-05-13,Director
408,2018-05-13,Manager
408,2019-05-13,Director
409,2023-09-20,Director
410,2022-11-13,Director
410,2023-11-13,Manager
410,2024-11-12,Analyst
411,2022-04-16,Analyst
411,2023-04-16,Analyst
412,2024-03-23,Manager
413,2023-06-10,Analyst
413,2024-06-09,Senior Analyst
414,2015-09-21,Senior Analyst
414,2016-09-20,Senior Analyst
414,2017-09-20,Senior Analyst
415,2021-05-12,Director
415,2022-05-12,Director
416,2016-03-25,Director
417,2018-04-11,Senior Analyst
417,2019-04-11,Senior Analyst
417,2020-04-10,Director
418,2021-04-06,Analyst
418,2022-04-06,Senior Analyst
419,2023-08-27,Director
419,2024-08-26,Director
420,2024-03-27,Senior Analyst
421,2020-10-13,Manager
422,2024-03-26,Analyst
422,2025-03-26,Analyst
423,2020-05-31,Senior Analyst
423,2021-05-31,Manager
423,2022-05-31,Manager
424,2020-09-04,Director
425,2018-04-06,Manager
426,2021-12-10,Director
426,2022-12-10,Manager
426,2023-12-10,Director
427,2019-01-14,Director
427,2020-01-14,Analyst
427,2021-01-13,Manager
428,2021-03-07,Director
428,2022-03-07,Senior Analyst
429,2018-11-05,Manager
429,2019-11-05,Analyst
429,2020-11-04,Senior Analyst
430,2022-09-26,Analyst
430,2023-09-26,Senior Analyst
431,2021-08-31,Analyst
431,2022-08-31,Senior Analyst
432,2015-11-06,Senior Analyst
432,2016-11-05,Director
433,2018-01-06,Senior Analyst
433,2019-01-06,Director
434,2015-10-22,Senior Analyst
434,2016-10-21,Director
435,2020-11-29,Senior Analyst
435,2021-11-29,Senior Analyst
435,2022-11-29,Director
436,2019-04-28,Senior Analyst
436,2020-04-27,Senior Analyst
437,2015-05-06,Director
437,2016-05-05,Analyst
438,2018-10-19,Analyst
438,2019-10-19,Director
439,2023-08-08,Senior Analyst
440,2021-07-25,Director
440,2022-07-25,Director
441,2016-04-30,Director
441,2017-04-30,Director
441,2018-04-30,Director
442,2019-02-24,Senior Analyst
442,2020-02-24,Analyst
443,2019-04-16,Analyst
443,2020-04-15,Senior Analyst
443,2021-04-15,Manager
444,2017-10-15,Manager
445,2017-06-05,Manager
446,2019-09-01,Director
447,2020-10-29,Director
447,2021-10-29,Analyst
447,2022-10-29,Analyst
448,2024-03-03,Manager
448,2025-03-03,Analyst
449,2020-02-23,Director
449,2021-02-22,Senior Analyst
449,2022-02-22,Director
450,2023-04-30,Senior Analyst
451,2019-04-28,Analyst
451,2020-04-27,Director
452,2020-07-27,Manager
452,2021-07-27,Analyst
453,2022-10-26,Analyst
453,2023-10-26,Senior Analyst
454,2023-07-10,Manager
455,2023-11-26,Director
455,2024-11-25,Senior Analyst
456,2016-04-05,Senior Analyst
456,2017-04-05,Senior Analyst
456,2018-04-05,Senior Analyst
457,2023-03-06,Manager
458,2018-04-20,Manager
458,2019-04-20,Senior Analyst
458,2020-04-19,Manager
459,2016-10-25,Manager
459,2017-10-25,Manager
459,2018-10-25,Manager
460,2019-02-09,Analyst
460,2020-02-09,Senior Analyst
460,2021-02-08,Director
461,2023-05-06,Manager
462,2019-12-19,Senior Analyst
462,2020-12-18,Senior Analyst
462,2021-12-18,Senior Analyst
463,2024-02-20,Manager
464,2020-05-10,Director
465,2019-09-21,Senior Analyst
465,2020-09-20,Manager
466,2019-05-15,Director
466,2020-05-14,Director
466,2021-05-14,Director
467,2015-09-18,Analyst
468,2018-07-06,Manager
468,2019-07-06,Manager
469,2023-11-29,Director
469,2024-11-28,Manager
470,2017-06-16,Analyst
470,2018-06-16,Analyst
470,2019-06-16,Director
471,2016-10-18,Manager
471,2017-10-18,Analyst
471,2018-10-18,Director
472,2021-08-08,Director
473,2016-06-28,Director
474,2016-03-13,Manager
474,2017-03-13,Manager
475,2023-01-24,Senior Analyst
475,2024-01-24,Director
476,2020-08-11,Analyst
476,2021-08-11,Analyst
477,2023-08-11,Director
478,2022-07-30,Analyst
479,2015-07-09,Director
480,2019-02-16,Analyst
480,2020-02-16,Director
481,2018-02-13,Senior Analyst
482,2021-01-10,Manager
482,2022-01-10,Senior Analyst
482,2023-01-10,Manager
483,2018-01-31,Manager
484,2017-07-06,Analyst
484,2018-07-06,Manager
485,2021-08-30,Senior Analyst
485,2022-08-30,Analyst
485,2023-08-30,Director
486,2015-08-13,Manager
486,2016-08-12,Senior Analyst
486,2017-08-12,Director
487,2018-10-10,Analyst
487,2019-10-10,Analyst
487,2020-10-09,Analyst
488,2022-05-28,Director
489,2023-09-30,Senior Analyst
490,2020-04-21,Senior Analyst
490,2021-04-21,Director
490,2022-04-21,Analyst
491,2015-07-01,Manager
492,2023-12-26,Director
493,2020-04-25,Senior Analyst
493,2021-04-25,Director
493,2022-04-25,Analyst
494,2022-07-12,Director
495,2020-11-14,Analyst
496,2017-03-20,Manager
497,2022-06-15,Manager
497,2023-06-15,Senior Analyst
498,2023-06-29,Senior Analyst
498,2024-06-28,Senior Analyst
499,2017-07-02,Analyst
500,2024-03-17,Senior Analyst
500,2025-03-17,Director
